usuario_id,yeardone,study,privacy,dropout,device,net_id,school,grade,group,class_size,gender,yearbirth,age_assumed,siblings,left_hand,delavande__apple20,delavande__apple10,delavande__riceweek,delavande__ricemoth,delavande__sch0,delavande__bath100,delavande__uni,delavande__study,delavande_slider,socpref1,socpref2,socpref3,sp1,sp2,sp3,sp4,sp5,sp6,migrant,repeater,gpaN,moodalone,moodfun,moodgeneral,patienceN,cns_td,crtN,finN,riskyN,cns_risk,self_bullying,n_others_bullying,others_bullying,height,weight,obesity,outdegreef,indegreef,eigenvectorf,clusteringf,outdegreee,indegreee,eigenvectore,clusteringe,density_f,average_degree_f,density_e,average_degree_e,schooltype,schooltown,schoolprov,nsiblings,rankbrother,stage,stairsN
2069,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,B),A),B),,,,,,,1,,.77777779,2,3,4,.33333334,0,0,0,.16666667,1,0,0,0,,52,,5,13,4.01782556008e-17,.782051282051282,1,4,0,.3,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2070,2021,337,1,0,2,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,1,,1,2,3,3,.33333334,0,.66666669,.66666669,.5,1,0,0,0,151,45,,7,11,4.29630075025e-17,.8484848484848485,1,6,0,.4285714285714286,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2071,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),B),,,,,,,1,,.22222222,2,3,2,.83333331,1,.33333334,.33333334,.66666669,0,0,0,0,153,38,,9,16,3.68111139132e-17,.7017543859649122,4,6,0,.3055555555555556,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2072,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,B),B),B),,,,,,,1,,.11111111,3,4,3,.5,0,.33333334,.33333334,.83333331,1,0,0,0,154,35,,23,22,3.03100841435e-17,.603988603988604,1,4,0,.5,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2073,2021,337,1,0,3,5_2_1,5,1,2,30,0,2009,12,,1,,,,,,,,,,A),B),B),,,,,,,1,,.44444445,4,4,4,.66666669,0,.66666669,.66666669,.66666669,0,0,0,0,160,53,,7,19,1.40962437826e-17,.7052631578947368,3,2,0,.7,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2074,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,B),B),B),,,,,,,0,,.8888889,4,4,4,0,1,.66666669,.33333334,.16666667,1,0,0,0,,,,15,12,1.94506441800e-17,.7017543859649122,1,3,0,.8333333333333334,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2075,2021,337,1,0,2,5_2_1,5,1,2,30,0,2009,12,,0,,,,,,,,,,A),B),B),,,,,,,0,,.33333334,3,4,2,.66666669,1,.33333334,.33333334,.5,1,0,0,0,152,36,,13,17,3.13763383139e-17,.7602339181286549,1,4,1.61934422292e-18,.8333333333333334,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2076,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,0,,.11111111,3,3,4,1,1,.66666669,.33333334,.83333331,1,0,0,0,,,,8,11,3.42432245462e-17,.6703296703296703,3,3,0,.6,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2077,2021,337,1,0,3,5_2_1,5,1,2,30,0,2008,13,,1,,,,,,,,,,A),A),B),,,,,,,0,,.11111111,2,3,2,.16666667,0,.33333334,.66666669,.66666669,1,0,0,0,169,65,,24,14,3.07366583770e-17,.6,2,10,0,.4909090909090909,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
2078,2021,337,1,0,3,5_2_1,5,1,2,30,1,2009,12,,0,,,,,,,,,,A),A),A),,,,,,,1,,.22222222,2,2,3,.66666669,1,.66666669,0,.66666669,1,0,0,0,148,39,,24,20,2.97682188739e-17,.564039408866995,5,4,0,.6190476190476191,.2240112994350283,26.43333333333333,.0725988700564972,8.566666666666666,2,3,1,,,2,
